docs\MSME Development Policy 2025.pdf | page 15 | low-confidence currency figure: "~53,000 crore" (number confidence 0) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 38 | low-confidence currency figure: "®25 crores" (number confidence 17) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 38 | low-confidence currency figure: "225 crore)" (number confidence 50) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 38 | low-confidence currency figure: "50 crore," (number confidence 6) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 38 | low-confidence currency figure: "%25 crores" (number confidence 0) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 40 | low-confidence currency figure: "=4 lakh" (number confidence 45) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 40 | low-confidence currency figure: "=1.1 lakh" (number confidence 1) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 42 | low-confidence currency figure: "2 crore," (number confidence 46) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 42 | low-confidence currency figure: "¥3 crore," (number confidence 0) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 42 | low-confidence currency figure: "25 lakh" (number confidence 41) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 43 | low-confidence currency figure: "210 lakh," (number confidence 34) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 43 | low-confidence currency figure: "25 lakh" (number confidence 0) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 43 | low-confidence currency figure: "%25 crore," (number confidence 32) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 43 | low-confidence currency figure: "=50 lakh," (number confidence 39) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 44 | low-confidence currency figure: "%10 crore" (number confidence 0) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 44 | low-confidence currency figure: "21 Crore," (number confidence 49) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 44 | low-confidence currency figure: "10 Crore," (number confidence 27) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 45 | low-confidence currency figure: "*10 crore" (number confidence 8) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 45 | low-confidence currency figure: "=10 crore" (number confidence 62) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 45 | low-confidence currency figure: "=10 crores" (number confidence 34) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 47 | low-confidence currency figure: "=10 Crores" (number confidence 23) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 47 | low-confidence currency figure: "=10 crores" (number confidence 45) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 46 | low-confidence currency figure: "®10 crores" (number confidence 46) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 15 | low-confidence currency figure: "~53,000 crore" (number confidence 0) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 15 | low-confidence currency figure: "®13,63,327 crore," (number confidence 0) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 16 | low-confidence currency figure: "=10 crore" (number confidence 39) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 16 | low-confidence currency figure: "20 crore" (number confidence 17) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 27 | low-confidence currency figure: "10 crores" (number confidence 5) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 29 | low-confidence currency figure: "%20 lakhs." (number confidence 23) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 29 | low-confidence currency figure: "%20 lakh." (number confidence 27) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 29 | low-confidence currency figure: "=50 lakh)" (number confidence 20) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 29 | low-confidence currency figure: "=50 lakh." (number confidence 69) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 31 | low-confidence currency figure: "10 crore" (number confidence 0) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 31 | low-confidence currency figure: "=100 lakh," (number confidence 53) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 31 | low-confidence currency figure: "210 crore" (number confidence 39) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 31 | low-confidence currency figure: "300 lakh." (number confidence 11) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 31 | low-confidence currency figure: "¥1 crore" (number confidence 51) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 31 | low-confidence currency figure: "10 crore" (number confidence 0) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 31 | low-confidence currency figure: "=10 crore" (number confidence 17) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 31 | low-confidence currency figure: "300 lakh." (number confidence 16) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 31 | low-confidence currency figure: "¥50 lakh" (number confidence 19) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 31 | low-confidence currency figure: "§50 lakh" (number confidence 6) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 31 | low-confidence currency figure: "40 crore." (number confidence 0) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 31 | low-confidence currency figure: "%40 crore." (number confidence 1) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 30 | low-confidence currency figure: "®15 lakh." (number confidence 28) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 30 | low-confidence currency figure: "$10 lakh." (number confidence 34) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 30 | low-confidence currency figure: "10 crores" (number confidence 45) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 30 | low-confidence currency figure: "%5 Lakhs" (number confidence 46) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 30 | low-confidence currency figure: "10 crore" (number confidence 0) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 30 | low-confidence currency figure: "50 lakh" (number confidence 0) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 30 | low-confidence currency figure: "250 lakh" (number confidence 0) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 32 | low-confidence currency figure: "740 lakh" (number confidence 42) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 32 | low-confidence currency figure: "50 lakh," (number confidence 40) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 32 | low-confidence currency figure: "100 lakh." (number confidence 0) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 32 | low-confidence currency figure: "=20 lakh," (number confidence 58) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 33 | low-confidence currency figure: "=100 lakh." (number confidence 65) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 33 | low-confidence currency figure: "100 lakh." (number confidence 61) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 33 | low-confidence currency figure: "=10 crore" (number confidence 0) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 33 | low-confidence currency figure: "%5 crore" (number confidence 35) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 33 | low-confidence currency figure: "=100 lakh" (number confidence 42) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 34 | low-confidence currency figure: "=10 crores" (number confidence 59) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 34 | low-confidence currency figure: "=10.00 crore" (number confidence 57) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 34 | low-confidence currency figure: "=10 crores" (number confidence 35) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 34 | low-confidence currency figure: "®5 crore" (number confidence 28) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 35 | low-confidence currency figure: "%5 crore." (number confidence 50) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 35 | low-confidence currency figure: "®5 crores" (number confidence 59) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 35 | low-confidence currency figure: "5 lakhs," (number confidence 0) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 35 | low-confidence currency figure: "%5 crores" (number confidence 66) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 38 | low-confidence currency figure: "=25 crores" (number confidence 18) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 38 | low-confidence currency figure: "$5 crores" (number confidence 39) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 38 | low-confidence currency figure: "®25 crores" (number confidence 17) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 38 | low-confidence currency figure: "225 crore)" (number confidence 50) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 38 | low-confidence currency figure: "50 crore," (number confidence 6) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 38 | low-confidence currency figure: "%25 crores" (number confidence 0) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 37 | low-confidence currency figure: "=10 crore" (number confidence 65) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 40 | low-confidence currency figure: "=4 lakh" (number confidence 45) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 40 | low-confidence currency figure: "=1.1 lakh" (number confidence 1) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 42 | low-confidence currency figure: "2 crore," (number confidence 46) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 42 | low-confidence currency figure: "¥3 crore," (number confidence 0) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 42 | low-confidence currency figure: "25 lakh" (number confidence 41) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 43 | low-confidence currency figure: "210 lakh," (number confidence 34) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 43 | low-confidence currency figure: "25 lakh" (number confidence 0) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 43 | low-confidence currency figure: "%25 crore," (number confidence 32) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 43 | low-confidence currency figure: "=50 lakh," (number confidence 39) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 44 | low-confidence currency figure: "%10 crore" (number confidence 0) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 44 | low-confidence currency figure: "21 Crore," (number confidence 49) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 44 | low-confidence currency figure: "10 Crore," (number confidence 27) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 45 | low-confidence currency figure: "*10 crore" (number confidence 8) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 45 | low-confidence currency figure: "=10 crore" (number confidence 62) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 45 | low-confidence currency figure: "=10 crores" (number confidence 34) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 47 | low-confidence currency figure: "=10 Crores" (number confidence 23) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 47 | low-confidence currency figure: "=10 crores" (number confidence 45) — verify against the source PDF
docs\MSME Development Policy 2025.pdf | page 46 | low-confidence currency figure: "®10 crores" (number confidence 46) — verify against the source PDF
